,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mod__learning_rate,param_mod__max_depth,param_mod__min_samples_leaf,param_mod__min_samples_split,param_mod__n_estimators,param_mod__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,378.32299237251283,3.0990711108264795,0.08170142173767089,0.003919578255749559,0.2,14,6,5,89,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 14, 'mod__min_samples_leaf': 6, 'mod__min_samples_split': 5, 'mod__n_estimators': 89, 'mod__subsample': 1.0}",-390499.92259501043,-407484.8233484171,-391656.84144272254,-407392.61848139676,-388812.83304207,-397169.40778192336,8433.559118196608,1
0,321.99544100761415,6.0812490121541956,0.07421288490295411,0.004511911112451727,0.2,10,2,5,113,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 10, 'mod__min_samples_leaf': 2, 'mod__min_samples_split': 5, 'mod__n_estimators': 113, 'mod__subsample': 1.0}",-397678.36279116763,-412406.32742558856,-389114.8517028994,-419566.8242705172,-401307.2105253457,-404014.7153431037,10786.780130607403,2
2,178.92670011520386,4.55413239422896,0.053969192504882815,0.001620687650738876,0.2,13,6,4,49,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 13, 'mod__min_samples_leaf': 6, 'mod__min_samples_split': 4, 'mod__n_estimators': 49, 'mod__subsample': 1.0}",-399714.0797541489,-412057.1006039789,-396164.6492150187,-416506.4282410695,-400711.44453100755,-405030.7404690447,7830.605586660181,3
5,400.5485311508179,4.511601816751932,0.08060097694396973,0.012912791087784682,0.2,7,5,2,187,1.0,"{'mod__learning_rate': 0.2, 'mod__max_depth': 7, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 2, 'mod__n_estimators': 187, 'mod__subsample': 1.0}",-401855.3985450806,-413132.29105758376,-400112.0618111402,-422371.45381625363,-399109.61319020647,-407316.163684053,9050.476333279326,4
9,86.85126953125,10.079478770002689,0.03603239059448242,0.005314958086232528,0.2,9,7,30,48,0.8,"{'mod__learning_rate': 0.2, 'mod__max_depth': 9, 'mod__min_samples_leaf': 7, 'mod__min_samples_split': 30, 'mod__n_estimators': 48, 'mod__subsample': 0.8}",-416113.35148384067,-424989.4524911361,-407542.97270825435,-437868.1657303895,-409437.59753110463,-419190.30798894505,11160.070685408084,5
6,45.33231611251831,5.224230795791048,0.037204408645629884,0.013619212121963693,0.1,8,5,2,19,1.0,"{'mod__learning_rate': 0.1, 'mod__max_depth': 8, 'mod__min_samples_leaf': 5, 'mod__min_samples_split': 2, 'mod__n_estimators': 19, 'mod__subsample': 1.0}",-474764.8232188947,-488146.3719657984,-469817.3795470145,-500011.7132541778,-474555.9161292646,-481459.24082303,11107.799143711416,6
8,141.24645233154297,4.239673140545689,0.06254830360412597,0.00629325566702518,0.01,16,4,10,44,0.8,"{'mod__learning_rate': 0.01, 'mod__max_depth': 16, 'mod__min_samples_leaf': 4, 'mod__min_samples_split': 10, 'mod__n_estimators': 44, 'mod__subsample': 0.8}",-601880.0665945847,-613745.7933959829,-601374.911465723,-630804.2817577996,-602840.8879568299,-610129.1882341839,11299.06204605677,7
3,119.46802806854248,5.390797652712927,0.05456185340881348,0.002575616755701659,0.01,13,3,30,35,1.0,"{'mod__learning_rate': 0.01, 'mod__max_depth': 13, 'mod__min_samples_leaf': 3, 'mod__min_samples_split': 30, 'mod__n_estimators': 35, 'mod__subsample': 1.0}",-624001.0763029566,-636033.2809692925,-623353.4468264076,-653138.9793700455,-625003.438017685,-632306.0442972775,11404.850111178539,8
7,220.40958981513978,21.096432907222198,0.06284976005554199,0.010225301303872834,0.001,5,9,4,161,1.0,"{'mod__learning_rate': 0.001, 'mod__max_depth': 5, 'mod__min_samples_leaf': 9, 'mod__min_samples_split': 4, 'mod__n_estimators': 161, 'mod__subsample': 1.0}",-680834.3894534892,-693983.7077661412,-680606.9394204736,-710396.30963243,-681462.9880687381,-689456.8668682544,11623.450285086948,9
1,212.66184649467468,4.178083778153728,0.09525957107543945,0.0045911289809793,0.001,10,4,10,97,0.8,"{'mod__learning_rate': 0.001, 'mod__max_depth': 10, 'mod__min_samples_leaf': 4, 'mod__min_samples_split': 10, 'mod__n_estimators': 97, 'mod__subsample': 0.8}",-694024.5047477256,-706016.8869906605,-692531.7324993601,-723480.685556376,-694942.5929738757,-702199.2805535996,11665.507081027705,10
